"Codigo";"UF";"Municipio";"Adequado_2000";"Adequado_2010";"Semi_2000";"Semi_2010";"Inadequado_2000";"Inadequado_2010";"Classe"
3109600;"MG";"Cachoeira da Prata";83,91;93,64;15,39;6,36;0,7;NA;"Até 5 mil"
5204201;"GO";"Cachoeira de Goiás";30,74;14,17;48,7;70,04;20,56;15,79;"Até 5 mil"
3109808;"MG";"Cachoeira Dourada";82,16;87,45;16,74;3,84;1,1;8,71;"Até 5 mil"
1703826;"TO";"Cachoeirinha";NA;11,07;84,56;75,89;15,44;13,04;"Até 5 mil"
2503407;"PB";"Cacimba de Areia";31,55;35,6;10,79;18,43;57,65;45,97;"Até 5 mil"
4303202;"RS";"Cacique Doble";26,4;30,14;24,82;57,54;48,78;12,32;"Até 5 mil"
4103404;"PR";"Cafeara";1,31;2,11;84,76;88,52;13,93;9,37;"Até 5 mil"
4103479;"PR";"Cafezal do Sul";1,41;1,1;71,85;81,37;26,74;17,53;"Até 5 mil"
3508900;"SP";"Caiabu";54,84;69,28;26,79;19,42;18,37;11,29;"Até 5 mil"
3110103;"MG";"Caiana";38,96;42,19;8,81;42,82;52,22;14,99;"Até 5 mil"
4303301;"RS";"Caibaté";3,36;15,99;80,74;82,33;15,9;1,69;"Até 5 mil"
2401909;"RN";"Caiçara do Rio do Vento";0,29;57,74;72,94;32,74;26,77;9,53;"Até 5 mil"
2202075;"PI";"Cajazeiras do Piauí";NA;30,43;34,21;42,15;65,79;27,42;"Até 5 mil"
2503753;"PB";"Cajazeirinhas";6,33;11,41;28,24;44,42;65,43;44,17;"Até 5 mil"
3110202;"MG";"Cajuri";23,1;55,88;24,85;23,52;52,05;20,6;"Até 5 mil"
5204557;"GO";"Caldazinha";0,12;36,06;47,61;43,14;52,26;20,8;"Até 5 mil"
4203154;"SC";"Calmon";3,83;52;45,56;25,17;50,62;22,83;"Até 5 mil"
3110400;"MG";"Camacho";28,7;48,08;21,19;29,76;50,11;22,17;"Até 5 mil"
4303558;"RS";"Camargo";NA;44,43;73,14;54,13;26,86;1,44;"Até 5 mil"
3110806;"MG";"Campanário";34,85;61,16;35,21;17;29,94;21,84;"Até 5 mil"
4303673;"RS";"Campestre da Serra";18,66;28,34;29,85;61,85;51,49;9,81;"Até 5 mil"
5204607;"GO";"Campestre de Goiás";4,11;1,5;68,16;69,38;27,73;29,12;"Até 5 mil"
4103958;"PR";"Campina do Simão";0,19;0,94;31,21;42,59;68,6;56,47;"Até 5 mil"
5204656;"GO";"Campinaçu";3,91;4,88;41,85;57,7;54,24;37,42;"Até 5 mil"
2202117;"PI";"Campo Alegre do Fidalgo";5,42;0,16;5,72;31,56;88,87;68,28;"Até 5 mil"
3111150;"MG";"Campo Azul";0,13;4,8;54;61,96;45,88;33,24;"Até 5 mil"
