"Codigo";"UF";"Municipio";"Analf_2000";"Analf_2010";"Inadequado_2000";"Inadequado_2010";"AnalfEInadequado_2000";"AnalfEInadequado_2010";"Classe"
5205521;"GO";"Colinas do Sul";31,84;14,72;28,74;18,06;12,82;5,56;"Até 5 mil"
4305603;"RS";"Colorado";4,32;3,05;34,55;6,09;3,99;0;"Até 5 mil"
1705557;"TO";"Combinado";33,33;20,36;9,38;7,58;4,69;0,4;"Até 5 mil"
3116902;"MG";"Comendador Gomes";14,52;6,72;47,18;37,31;7,66;0,37;"Até 5 mil"
3115201;"MG";"Conceição da Barra de Minas";12,05;8,06;31,08;24,54;6,99;0,73;"Até 5 mil"
3117207;"MG";"Conceição das Pedras";15,13;7,29;45,02;3,13;5,17;0;"Até 5 mil"
3117405;"MG";"Conceição de Ipanema";33,42;16,11;55,95;39,17;16,71;6,11;"Até 5 mil"
2202802;"PI";"Conceição do Canindé";57,9;40,05;40,28;33,93;29,65;18,62;"Até 5 mil"
1705607;"TO";"Conceição do Tocantins";39,15;31,45;55,36;33,54;27,88;15,09;"Até 5 mil"
2504702;"PB";"Congo";51,87;37,47;55,62;28,54;31,27;13,9;"Até 5 mil"
3118106;"MG";"Congonhas do Norte";42,9;32,06;42,6;24,16;22,96;10,77;"Até 5 mil"
5103361;"MT";"Conquista D'Oeste";NA;12,02;NA;30,5;NA;8,5;"Até 5 mil"
4106100;"PR";"Conselheiro Mairinck";23,6;8,57;3,5;7,86;1,4;0,71;"Até 5 mil"
3118502;"MG";"Consolação";25,4;13,33;55,03;5,83;18,52;0,83;"Até 5 mil"
2908804;"BA";"Contendas do Sincorá";44,42;37,41;26,56;27,63;15,18;12,22;"Até 5 mil"
