"Codigo";"UF";"Municipio";"ValMedio";"Q2";"Mediana";"Q3";"Classe"
4116000;"PR";"Miraselva";566;303;446;653;"Até 5 mil"
3530409;"SP";"Mirassolândia";554;267;464;675;"Até 5 mil"
3142254;"MG";"Miravânia";222;72;150;261;"Até 5 mil"
4210852;"SC";"Mirim Doce";555;255;433;619;"Até 5 mil"
4210902;"SC";"Modelo";729;355;540;837;"Até 5 mil"
3142304;"MG";"Moeda";468;204;333;510;"Até 5 mil"
5213400;"GO";"Moiporá";445;180;333;510;"Até 5 mil"
3530904;"SP";"Mombuca";613;238;406;700;"Até 5 mil"
3531001;"SP";"Monções";683;333;510;778;"Até 5 mil"
3142502;"MG";"Monjolos";334;136;220;383;"Até 5 mil"
2509503;"PB";"Montadas";246;89;178;340;"Até 5 mil"
4312351;"RS";"Montauri";962;510;750;1115;"Até 5 mil"
4312377;"RS";"Monte Alegre dos Campos";422;170;283;510;"Até 5 mil"
4312385;"RS";"Monte Belo do Sul";756;400;667;1000;"Até 5 mil"
3531605;"SP";"Monte Castelo";569;270;455;675;"Até 5 mil"
2407906;"RN";"Monte das Gameleiras";271;100;170;340;"Até 5 mil"
3143153;"MG";"Monte Formoso";208;60;128;254;"Até 5 mil"
2509602;"PB";"Monte Horebe";262;73;170;340;"Até 5 mil"
1713700;"TO";"Monte Santo do Tocantins";292;128;212;348;"Até 5 mil"
3531704;"SP";"Monteiro Lobato";558;200;366;605;"Até 5 mil"
5213772;"GO";"Montividiu do Norte";321;122;204;383;"Até 5 mil"
4312427;"RS";"Mormaço";630;240;410;663;"Até 5 mil"
4312443;"RS";"Morrinhos do Sul";623;255;467;700;"Até 5 mil"
5213855;"GO";"Morro Agudo de Goiás";434;197;333;510;"Até 5 mil"
2206654;"PI";"Morro Cabeça no Tempo";170;24;100;222;"Até 5 mil"
3143609;"MG";"Morro da Garça";336;142;255;383;"Até 5 mil"
3143708;"MG";"Morro do Pilar";357;152;255;440;"Até 5 mil"
4211256;"SC";"Morro Grande";569;255;462;667;"Até 5 mil"
